1st Avenue & 6th Street,40.726831,-73.986312
19th & 8th,40.743028,-74.000411
15th & 3rd,40.734391,-73.986793
13th & 6th,40.737288,-73.997279
114th & Broadway,40.806754,-73.964894
112th & Frederick Douglass,40.801887,-73.957314
10th & University,40.733342,-73.993813
108th & Broadway,40.803024,-73.967667
West 4th & Washington Square East,40.72999,-73.996449
West 4th & Greene,40.729724,-73.995801
West 3rd Street & 6th Avenue,40.671655,-73.980923
West 3rd & 6th,40.731552,-74.001356
Waverly & University,40.731304,-73.99549
Washington Place & 6th,40.732817,-74.00044
University & 12th,40.734541,-73.992767
University & 11th,40.733867,-73.993334
University & 10th,40.733342,-73.993813
Thompson & Bleecker,40.728945,-73.999594
Suffolk & Rivington,40.719797,-73.986002
St. Marks & 1st,40.728063,-73.985462
Spring & Varick,40.726195,-74.005625
Spring & Mercer,40.723922,-73.999575
Spring & Lafayette,40.722827,-73.997048
Prince & Wooster,40.725899,-74.00002
Prince & Sullivan,40.726993,-74.002288
Park & 30th,40.744921,-73.983317
Park & 26th,40.742374,-73.985149
Mott & Canal,40.717296,-73.997769
Mercer & Waverly,40.730542,-73.994
John & Water,40.707336,-74.004982
Houston & Varick,40.729109,-74.005178
Houston & Suffolk,40.722083,-73.984865
Houston & Mulberry,40.725357,-73.994892
Gansevoort & Washington,40.739937,-74.007897
Fulton & Gold,40.709578,-74.005447
Essex & Houston,40.722615,-73.986507
Chrystie & Grand,40.718635,-73.993801
Christopher & Gay,40.734497,-74.000345
Chambers & Church,40.715414,-74.007799
Carmine & 6th,40.731042,-74.001683
Broome & Forsyth,40.71929,-73.99265
Broadway & 116th,40.808002,-73.963956
Bowery & 2nd,40.726222,-73.992095
Bond & Bowery,40.726222,-73.992095
Bleecker & Perry,40.735827,-74.004885
Bleecker & Mercer,40.727487,-73.996592
Bleecker & Broadway,40.72704,-73.995771
Bleecker & Bowery,40.725778,-73.992249
Bleecker & 7th,40.732777,-74.003471
Bleecker & 11th,40.73647,-74.005099
Astor & Lafayette,40.730453,-73.991511
Astor & Broadway,40.730654,-73.992809
9th Street & 1st Avenue,40.728605,-73.985004
98th & Broadway,40.795985,-73.97087
96th & Columbus,40.792829,-73.967572
95th & 3rd,40.784522,-73.949959
94th & Broadway,40.793373,-73.972769
8th Street & 6th Avenue,40.668642,-73.983435
8th & Greene,40.73186,-73.993993
86th & York,40.775998,-73.947235
86th & Broadway,40.788279,-73.976611
85th & Broadway,40.787672,-73.977134
